nom_obstacle,num_angle,x,y
GTO2,1,31.0,-4.5
GTO2,2,32.5,-3.5
GTO2,3,32.25,-2.75
GTO2,4,30.75,-3.75
MO,1,12.5,-7.0
MO,2,22.5,-7.0
MO,3,22.5,-4.0
MO,4,12.5,-4.0
Plieuse mixte,1,13.5,5.5
Plieuse mixte,2,14.5,5.5
Plieuse mixte,3,14.5,8.5
Plieuse mixte,4,13.5,8.5
R2001,1,3.5,4.5
R2001,2,6.5,4.5
R2001,3,6.5,7.5
R2001,4,3.5,7.5
R2002,1,8.0,5.5
R2002,2,11.0,5.5
R2002,3,11.0,8.5
R2002,4,8.0,8.5
R2003,1,1.0,15.5
R2003,2,4.0,15.5
R2003,3,4.0,18.5
R2003,4,1.0,18.5
Typo1,1,6.5,19.0
Typo1,2,7.5,17.5
Typo1,3,8.0,18.5
Typo1,4,7.0,20.0
Typo2,1,9.5,15.5
Typo2,2,10.5,14.25
Typo2,3,11.25,16.25
Typo2,4,10.25,17.25
Plieuse GUK,1,16.5,26.5
Plieuse GUK,2,17.5,26.5
Plieuse GUK,3,17.5,27.5
Plieuse GUK,4,16.5,27.5
